Drug_ID,SMILES,Predicted_DTA_S1R,Predicted_DTA_DRD2,Predicted_DTA_BIP
DB00241,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,5.690829575061798,5.56503438949585,4.643509387969971
DB00242,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,5.667675614356995,6.062094807624817,5.089608550071716
DB00244,C1=CC(=C(C=C1N)C(=O)O)O,5.44948410987854,5.247872412204742,4.411839067935944
DB00245,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,6.335047662258148,6.20589405298233,6.076484680175781
DB00246,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,6.9010080099105835,7.904224216938019,7.116358995437622
DB00248,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,7.147146940231323,7.370026230812073,6.966805338859558
DB00252,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,6.371836185455322,5.593232691287994,5.359245181083679
DB00255,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,5.660104215145111,5.529448986053467,4.718367338180542
DB00257,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,6.226849317550659,6.109133720397949,5.559889137744904
DB00262,C(CCl)NC(=O)N(CCCl)N=O,5.982306241989136,5.1958290338516235,4.720654726028442
DB00264,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,6.870530068874359,5.644545614719391,5.952735185623169
DB00268,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,6.808728456497192,6.175348401069641,6.002159118652344
DB00270,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,6.244667172431946,6.145888447761536,5.549020528793335
DB00273,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,6.174128949642181,5.724008917808533,5.066025137901306
DB00275,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,6.111222803592682,5.8292548060417175,4.898174166679382
DB00277,CN1C2=C(C(=O)N(C1=O)C)NC=N2,6.220295488834381,5.896825432777405,5.668423652648926
DB00278,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,6.217003405094147,7.000457584857941,6.545079052448273
DB00279,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,6.2205169796943665,5.654125332832336,5.159601509571075
DB00280,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,5.933601379394531,6.057690680027008,5.145919680595398
DB00281,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,6.283371925354004,5.4387213587760925,4.977250337600708
DB00282,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,5.497846841812134,5.416400372982025,4.554654181003571
DB00284,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,6.519612729549408,5.880611002445221,5.584634065628052
DB00285,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,6.503161072731018,5.7134053111076355,5.628911077976227
DB00287,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](COC2=CC=CC(=C2)C(F)(F)F)O)O)O,7.568357229232788,7.10530161857605,7.192468166351318
DB00289,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,6.286479711532593,5.465758800506592,5.058287560939789
DB00290,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,7.255395352840424,6.7642181515693665,6.0767791867256165
DB00295,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,6.04403018951416,6.12332957983017,5.133440852165222
DB00297,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,6.922066271305084,6.100762724876404,6.255773067474365
DB00302,C1CC(CCC1CN)C(=O)O,5.55290949344635,5.367491960525513,4.703168570995331
DB00304,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,6.38373190164566,6.046452701091766,5.311158537864685
DB00307,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,5.931681394577026,5.909773349761963,5.319618582725525
DB00308,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,5.964840650558472,6.032582104206085,5.589131474494934
DB00310,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,6.673240959644318,6.444548070430756,6.231802701950073
DB00313,CCCC(CCC)C(=O)O,5.547103464603424,5.143628120422363,4.543075352907181
DB00315,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,5.932327330112457,6.494596838951111,5.571974754333496
DB00316,CC(=O)NC1=CC=C(C=C1)O,6.026608049869537,5.22221827507019,4.926948010921478
DB00318,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O,6.109086096286774,6.52687680721283,5.797223687171936
DB00320,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,8.098262667655945,7.143800377845764,7.593016982078552
DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,6.440779805183411,5.617813289165497,5.6409324407577515
DB00323,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],5.432806849479675,5.236265122890472,4.350055932998657
DB00324,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,7.005953848361969,6.602929651737213,6.4867103099823
DB00325,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Fe+4],5.491108238697052,5.07217800617218,4.39358577132225
DB00327,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,6.47510701417923,6.855500876903534,6.105500102043152
DB00328,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,5.967280924320221,5.402267813682556,4.687213957309723
DB00331,CN(C)C(=N)N=C(N)N,5.348901808261871,5.4316205978393555,4.762883365154266
DB00332,CC(C)[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,6.552006721496582,6.19106650352478,5.996761322021484
DB00333,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,5.504649221897125,5.643213272094727,4.7427895069122314
DB00334,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,6.493384122848511,7.62827855348587,7.403660178184509
DB00335,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,6.257314205169678,5.779515385627747,5.590609133243561
DB00337,CC[C@@H]1/C=C(/C[C@@H](C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]4CC[C@@H]([C@@H](C4)OC)Cl)/C)O)C)OC)OC)C)\C,7.737499356269836,6.681844770908356,7.419190883636475
DB00338,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,6.217251539230347,5.681686222553253,5.2301483154296875
DB00342,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,6.255209505558014,6.2343485951423645,5.706990003585815
