drug_id,predicted_score
DB00282,0.8835045695304871
DB00284,0.5329771041870117
DB00285,0.0683383122086525
DB00287,0.0002847062423825264
DB00289,0.8945713043212891
DB00290,3.410506044243533e-10
DB00295,6.014565769874025e-06
DB00297,0.04879392683506012
DB00302,0.17967437207698822
DB00304,1.7945376384886913e-07
DB00307,0.00013757550914306194
DB00308,0.32460322976112366
DB00310,8.954852148690406e-08
DB00313,0.9996032118797302
DB00315,0.06430718302726746
DB00316,0.00043104373617097735
DB00318,1.2332950973359402e-05
DB00320,0.03309985622763634
DB00321,2.6189616619376466e-05
DB00323,0.9990915060043335
DB00324,7.018240921752295e-07
DB00325,5.060674368451146e-08
DB00327,5.609363142866641e-05
DB00328,0.0024493797682225704
DB00331,0.00027558187139220536
DB00332,7.782559987390414e-05
DB00333,0.011698720045387745
DB00334,0.9001650214195251
DB00335,0.00019715605594683439
DB00337,2.5806558667795798e-08
DB00338,0.04736839979887009
DB00342,0.0965694710612297
DB00343,0.027680406346917152
DB00346,0.0001609417231520638
DB00350,0.02689814753830433
DB00351,7.315404104701884e-08
DB00353,0.050793688744306564
DB00354,2.6427233024151064e-05
DB00356,0.0026032670866698027
DB00357,0.011088310740888119
DB00361,2.256312291137874e-05
DB00363,0.06242986395955086
DB00364,4.940253575114184e-07
DB00366,3.5290220239403425e-06
DB00367,3.7982927096891217e-06
DB00368,0.007310230750590563
DB00371,0.9979495406150818
DB00373,0.025940345600247383
DB00374,0.9992724061012268
DB00376,0.9985314607620239
DB00379,0.8000400066375732
DB00380,2.451960426697042e-06
DB00381,0.0003520473837852478
DB00382,0.9999945163726807
DB00384,3.257060541272949e-07
DB00385,1.960238478204701e-07
DB00387,0.960922122001648
DB00388,0.002816715044900775
DB00390,1.9921803868783172e-06
DB00393,0.0005025699501857162
DB00394,3.137375514938867e-08
DB00397,0.0091781010851264
DB00398,1.3046900448898668e-07
DB00399,0.013418788090348244
DB00401,1.0207561899733264e-05
DB00404,0.9105554819107056
DB00408,0.7895089983940125
DB00412,0.03785267099738121
DB00413,0.9996881484985352
DB00414,0.0009533841512165964
DB00419,0.9997146725654602
DB00421,6.269708592299139e-06
DB00422,0.0010198953095823526
DB00424,0.7930605411529541
DB00428,3.6721920082527504e-07
DB00433,0.9991893172264099
DB00434,0.9999833106994629
DB00436,0.002168938284739852
DB00437,0.37255579233169556
DB00441,1.1376736352985972e-07
DB00443,1.2540566558527644e-06
DB00444,9.742215070218663e-07
DB00445,7.498417176066141e-08
DB00448,0.08693297207355499
DB00449,0.12311781942844391
DB00451,5.763278210224598e-08
DB00454,0.9966596364974976
DB00457,0.004860979970544577
DB00458,0.5352073311805725
DB00461,0.0050005074590444565
DB00464,3.828773060376989e-06
DB00465,7.634911162313074e-05
DB00468,0.039201006293296814
DB00470,5.6362747272942215e-05
DB00471,7.803970947861671e-05
DB00472,0.08705882728099823
DB00475,0.8032467365264893
DB00476,0.0006356863304972649
DB00477,0.5241790413856506
DB00480,2.2948677269596374e-07
DB00481,2.4503022359567694e-05
DB00482,0.5944077372550964
DB00484,0.99782794713974
DB00489,0.00046894385013729334
DB00490,0.9995040893554688
DB00491,0.869269847869873
DB00492,3.8003030056188436e-08
DB00494,0.9991377592086792
DB00497,2.720444172155112e-05
DB00499,2.4063847376964986e-06
DB00500,0.00022056976740714163
DB00501,0.00047051909496076405
DB00502,0.9996922016143799
DB00508,0.0007529892609454691
DB00514,0.07427205890417099
DB00515,0.007418440189212561
DB00519,2.636969043123827e-07
DB00521,3.7168872950132936e-05
DB00523,0.03889021649956703
DB00524,1.6891756331460783e-06
DB00527,0.06216181814670563
DB00530,1.4406057857740961e-07
DB00532,0.12259581685066223
DB00535,0.0021581107284873724
DB00536,0.9892704486846924
DB00537,6.358255632221699e-05
DB00540,0.0013572939205914736
DB00541,0.00013849818788003176
DB00542,1.0592589916313955e-07
DB00544,6.691127055091783e-06
DB00545,0.028576835989952087
DB00547,1.0728911092883209e-06
